streetAddress,suburb,state,postcode,propertyType,bed,bath,car,landSizeM2,floorSizeM2,yearBuilt,salePrice,saleDate,saleType,agency,landUse,developmentZone,parcelDetails,ownerType,openInRpdata,sourceFile,agencyBrand,saleYear,saleMonth,saleYearMonth,street,month_id,saleMonth_sin,saleMonth_cos,suburb_price_median_current,count,std,suburb_price_median_3m,suburb_price_median_6m,suburb_price_median_12m,suburb_txn_count_3m,suburb_txn_count_6m,suburb_txn_count_12m,suburb_volatility_3m,suburb_volatility_6m,suburb_volatility_12m,suburb_delta_3m,suburb_delta_12m,suburb_house_price_median_current,suburb_house_txn_count_current,suburb_house_volatility_current,suburb_house_price_median_3m,suburb_house_price_median_6m,suburb_house_price_median_12m,suburb_house_txn_count_3m,suburb_house_txn_count_6m,suburb_house_txn_count_12m,suburb_house_volatility_3m,suburb_house_volatility_6m,suburb_house_volatility_12m,suburb_house_delta_3m,suburb_house_delta_12m,suburb_other_price_median_current,suburb_other_txn_count_current,suburb_other_volatility_current,suburb_other_price_median_3m,suburb_other_price_median_6m,suburb_other_price_median_12m,suburb_other_txn_count_3m,suburb_other_txn_count_6m,suburb_other_txn_count_12m,suburb_other_volatility_3m,suburb_other_volatility_6m,suburb_other_volatility_12m,suburb_other_delta_3m,suburb_other_delta_12m,rel_price_vs_suburb_median,rel_street_effect,propertyAge,propertyAgeBand
112 BRUNSWICK ROAD,MITCHAM,VIC,3132,UNIT,3.0,1.0,2.0,619.0,102.0,1970.0,1095000.0,2025-08-30,Pending Settlement Advice,Other,Detached Dwelling,NRZ3,1/PS324697,Rented,https://rpp.corelogic.com.au/property/112-brunswick-road-mitcham-vic-3132/11847355,propertyExport_20250901115240.csv,Jellis Craig,2025,8,202508,Brunswick Road,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.2658959537572254,0.7221401738593698,55.0,21+
12 CARWEEN AVENUE,MITCHAM,VIC,3132,HOUSE,3.0,1.0,2.0,833.0,130.0,1960.0,1515000.0,2025-08-30,Pending Settlement Advice,Unknown,Unknown,NRZ3,Unknown,Owner Occupied,https://rpp.corelogic.com.au/property/12-carween-avenue-mitcham-vic-3132/36042963,propertyExport_20250901115240.csv,Other,2025,8,202508,Carween Avenue,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.7514450867052023,0.7951722041916953,65.0,21+
3/55 CARWEEN AVENUE,MITCHAM,VIC,3132,HOUSE,2.0,1.0,2.0,217.0,106.0,1980.0,805000.0,2025-08-30,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),NRZ3,3/RP18068,Owner Occupied,https://rpp.corelogic.com.au/property/3-55-carween-avenue-mitcham-vic-3132/11847892,propertyExport_20250901115240.csv,Ray White,2025,8,202508,Carween Avenue,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,0.930635838150289,0.8086529604999533,45.0,21+
7 ROTHERWOOD AVENUE,MITCHAM,VIC,3132,HOUSE,4.0,3.0,2.0,470.0,181.0,1960.0,1727000.0,2025-08-30,Pending Settlement Advice,Barry Plant Blackburn,Detached Dwelling,NRZ4,LOT 50 LP12194 & 1\PS903900,Rented,https://rpp.corelogic.com.au/property/7-rotherwood-avenue-mitcham-vic-3132/11858010,propertyExport_20250901115240.csv,Barry Plant,2025,8,202508,Rotherwood Avenue,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.9965317919075145,1.0253546796948256,65.0,21+
6/35 HARRISON STREET,MITCHAM,VIC,3132,UNIT,3.0,2.0,2.0,286.0,142.0,2010.0,1090000.0,2025-08-29,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),NRZ4,6/PS611544,Owner Occupied,https://rpp.corelogic.com.au/property/6-35-harrison-street-mitcham-vic-3132/14971480,propertyExport_20250901115240.csv,Other,2025,8,202508,Harrison Street,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.260115606936416,1.3156134141872216,15.0,6–20
115/569 WHITEHORSE ROAD,MITCHAM,VIC,3132,UNIT,3.0,2.0,1.0,3197.0,78.0,2017.0,520000.0,2025-08-27,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),RGZ1,206B/PS701327,Owner Occupied,https://rpp.corelogic.com.au/property/115-569-whitehorse-road-mitcham-vic-3132/18066234,propertyExport_20250901115240.csv,Ray White,2025,8,202508,Whitehorse Road,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,0.6011560693641619,1.6666132184051696,8.0,6–20
309/339 MITCHAM ROAD,MITCHAM,VIC,3132,UNIT,2.0,1.0,1.0,94.0,94.0,2014.0,485000.0,2025-08-26,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),C1Z,309/PS703655,Owner Occupied,https://rpp.corelogic.com.au/property/309-339-mitcham-road-mitcham-vic-3132/37277850,propertyExport_20250901115240.csv,Other,2025,8,202508,Mitcham Road,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,0.5606936416184971,0.7931228477227863,11.0,6–20
2 BLOSSOM STREET,MITCHAM,VIC,3132,HOUSE,3.0,2.0,1.0,416.0,254.0,1970.0,1241000.0,2025-08-23,Pending Settlement Advice,Other,Detached Dwelling,NRZ3,1/PS423995,Owner Occupied,https://rpp.corelogic.com.au/property/2-blossom-street-mitcham-vic-3132/11846970,propertyExport_20250901115240.csv,Ray White,2025,8,202508,Blossom Street,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.4346820809248555,1.0258609731940487,55.0,21+
2/14 CHURINGA AVENUE,MITCHAM,VIC,3132,UNIT,3.0,2.0,2.0,285.0,144.0,1980.0,1105000.0,2025-08-23,Pending Settlement Advice,Other,Townhouse,NRZ3,2/PS524123,Owner Occupied,https://rpp.corelogic.com.au/property/2-14-churinga-avenue-mitcham-vic-3132/11848201,propertyExport_20250901115240.csv,Noel Jones,2025,8,202508,Churinga Avenue,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.277456647398844,1.0370790222551962,45.0,21+
27 RESERVE AVENUE,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,646.0,123.0,1955.0,1800000.0,2025-08-23,Pending Settlement Advice,Other,Detached Dwelling (existing),NRZ3,76/LP41887,Rented,https://rpp.corelogic.com.au/property/27-reserve-avenue-mitcham-vic-3132/11857621,propertyExport_20250901115240.csv,Jellis Craig,2025,8,202508,Reserve Avenue,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,2.0809248554913293,1.262566258290399,70.0,21+
