feature,mutual_info,pearson_abs,eta,best_score,best_metric,selected,reason
landSizeM2,1.0,0.026675567548604194,,1.0,mutual_info,true,mutual_info 1.0000 >= 0.05
parcelDetails,,,0.9998635183807726,0.9998635183807726,eta,true,eta 0.9999 >= 0.05
saleDate,,,0.8633180355506253,0.8633180355506253,eta,true,eta 0.8633 >= 0.05
floorSizeM2,0.7905410743742141,0.37399413592197395,,0.7905410743742141,mutual_info,true,mutual_info 0.7905 >= 0.05
bed,0.6098383776372898,0.2434140763587369,,0.6098383776372898,mutual_info,true,mutual_info 0.6098 >= 0.05
yearBuilt,0.4438941135835976,0.06316732827996682,,0.4438941135835976,mutual_info,true,mutual_info 0.4439 >= 0.05
landUse,,,0.42122005663034123,0.42122005663034123,eta,true,eta 0.4212 >= 0.05
propertyAge,0.390733846621389,0.06636821200930382,,0.390733846621389,mutual_info,true,mutual_info 0.3907 >= 0.05
saleType,,,0.3491397311477531,0.3491397311477531,eta,true,eta 0.3491 >= 0.05
propertyType,,,0.34559523006614995,0.34559523006614995,eta,true,eta 0.3456 >= 0.05
yearMonthMeanPrice,0.257230660641283,0.33063783647961076,,0.33063783647961076,pearson_abs,true,pearson_abs 0.3306 >= 0.05
suburbMonthMedianPrice,0.2518103447134825,0.1599371643243738,,0.2518103447134825,mutual_info,true,mutual_info 0.2518 >= 0.05
developmentZone,,,0.24619370890204767,0.24619370890204767,eta,true,eta 0.2462 >= 0.05
propertyCategory,,,0.2325771453961671,0.2325771453961671,eta,true,eta 0.2326 >= 0.05
saleYearMonth,0.22189726395350187,0.020267655756477702,,0.22189726395350187,mutual_info,true,mutual_info 0.2219 >= 0.05
car,0.18897782683701841,0.2018213994820667,,0.2018213994820667,pearson_abs,true,pearson_abs 0.2018 >= 0.05
saleYear,0.19646090395173257,0.020372026792574657,,0.19646090395173257,mutual_info,true,mutual_info 0.1965 >= 0.05
bath,0.1830699821720002,0.16504353865523297,,0.1830699821720002,mutual_info,true,mutual_info 0.1831 >= 0.05
ownerType,,,0.15607287207475526,0.15607287207475526,eta,true,eta 0.1561 >= 0.05
agency,,,0.1268276685528713,0.1268276685528713,eta,true,eta 0.1268 >= 0.05
saleMonth,0.09083740187482872,0.009998653256287269,,0.09083740187482872,mutual_info,true,mutual_info 0.0908 >= 0.05
agencyBrand,,,0.08843447412160418,0.08843447412160418,eta,true,eta 0.0884 >= 0.05
saleMonth_cos,0.08713755001865031,0.03492695440896604,,0.08713755001865031,mutual_info,true,mutual_info 0.0871 >= 0.05
saleMonth_sin,0.05962629124436601,0.0023488712501660925,,0.05962629124436601,mutual_info,true,mutual_info 0.0596 >= 0.05
postcode,0.0,,,0.0,mutual_info,false,""
suburb,,,0.0,0.0,eta,false,""
state,,,0.0,0.0,eta,false,""
