bed,bath,car,landSizeM2,floorSizeM2,yearBuilt,saleYearMonth,saleMonth_sin,saleMonth_cos,suburb_price_median_current,count,suburb_price_median_3m,suburb_price_median_6m,suburb_price_median_12m,suburb_txn_count_3m,suburb_txn_count_6m,suburb_volatility_3m,suburb_volatility_6m,suburb_volatility_12m,suburb_delta_3m,suburb_delta_12m,suburb_house_price_median_current,suburb_house_txn_count_current,suburb_house_volatility_current,suburb_house_price_median_3m,suburb_house_price_median_6m,suburb_house_price_median_12m,suburb_house_txn_count_3m,suburb_house_txn_count_6m,suburb_house_volatility_3m,suburb_house_volatility_6m,suburb_house_volatility_12m,suburb_house_delta_3m,suburb_house_delta_12m,suburb_other_price_median_current,suburb_other_txn_count_current,suburb_other_volatility_current,suburb_other_price_median_3m,suburb_other_price_median_6m,suburb_other_price_median_12m,suburb_other_txn_count_3m,suburb_other_txn_count_12m,suburb_other_volatility_3m,suburb_other_volatility_6m,suburb_other_volatility_12m,suburb_other_delta_3m,suburb_other_delta_12m,propertyType,saleType,agency,landUse,developmentZone,ownerType,agencyBrand,street,propertyAgeBand,salePrice
3.0,1.0,2.0,619.0,102.0,1970.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Detached Dwelling,NRZ3,Rented,Jellis Craig,Brunswick Road,21+,1095000.0
3.0,1.0,2.0,833.0,130.0,1960.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Unknown,Unknown,NRZ3,Owner Occupied,Other,Carween Avenue,21+,1515000.0
2.0,1.0,2.0,217.0,106.0,1980.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),NRZ3,Owner Occupied,Ray White,Carween Avenue,21+,805000.0
4.0,3.0,2.0,470.0,181.0,1960.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Barry Plant Blackburn,Detached Dwelling,NRZ4,Rented,Barry Plant,Rotherwood Avenue,21+,1727000.0
3.0,2.0,2.0,286.0,142.0,2010.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),NRZ4,Owner Occupied,Other,Harrison Street,6–20,1090000.0
3.0,2.0,1.0,3197.0,78.0,2017.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),RGZ1,Owner Occupied,Ray White,Whitehorse Road,6–20,520000.0
2.0,1.0,1.0,94.0,94.0,2014.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),C1Z,Owner Occupied,Other,Mitcham Road,6–20,485000.0
3.0,2.0,1.0,416.0,254.0,1970.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Other,Detached Dwelling,NRZ3,Owner Occupied,Ray White,Blossom Street,21+,1241000.0
3.0,2.0,2.0,285.0,144.0,1980.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Townhouse,NRZ3,Owner Occupied,Noel Jones,Churinga Avenue,21+,1105000.0
4.0,2.0,2.0,646.0,123.0,1955.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Other,Detached Dwelling (existing),NRZ3,Rented,Jellis Craig,Reserve Avenue,21+,1800000.0
3.0,1.0,2.0,724.0,92.0,1950.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Barry Plant - Blackburn,Detached Dwelling,NRZ1,Owner Occupied,Barry Plant,Quarry Road,21+,900000.0
3.0,2.0,2.0,294.0,159.0,2015.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),NRZ3,Owner Occupied,Barry Plant,Ian Crescent,6–20,1250000.0
4.0,2.0,2.0,728.0,199.0,2008.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Barry Plant - Blackburn,Detached Dwelling,GRZ1,Owner Occupied,Barry Plant,Gillies Street,6–20,1614000.0
3.0,2.0,1.0,195.0,144.0,2000.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Barry Plant - Blackburn,Detached Dwelling (existing),NRZ3,Owner Occupied,Barry Plant,Mintleaf Grove,21+,850000.0
2.0,1.0,1.0,71.0,81.0,1970.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Single Strata Unit/Villa Unit/Townhouse,NRZ1,Rented,Woodards,Mitcham Road,21+,615000.0
2.0,2.0,1.0,3890.0,64.0,2012.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Barry Plant Blackburn,Strata Unit or Flat  (Unspecified),MUZ,Rented,Barry Plant,Colombo Street,6–20,415000.0
3.0,1.0,1.0,354.0,128.0,1980.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Barry Plant - Blackburn,Unknown,GRZ2,Rented,Barry Plant,Forster Street,21+,825000.0
4.0,2.0,2.0,651.0,124.0,1980.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Jellis Craig - Whitehorse,Unknown,NRZ1,Owner Occupied,Jellis Craig,Haddon Court,21+,1440000.0
3.0,1.0,1.0,395.0,106.0,1950.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Noel Jones Whitehorse,Detached Dwelling (existing),NRZ3,Owner Occupied,Noel Jones,Rupert Street,21+,1144000.0
3.0,1.0,1.0,536.0,105.0,1980.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,HOUSE,Pending Settlement Advice,Barry Plant - Blackburn,Detached Dwelling (existing),GRZ1,Owner Occupied,Barry Plant,Shirley Court,21+,1052000.0
3.0,2.0,2.0,476.0,141.0,1980.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),GRZ2,Owner Occupied,Other,Whitehorse Road,21+,1177000.0
2.0,1.0,1.0,809.0,77.0,2012.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Townhouse,GRZ2,Owner Occupied,Other,Church Street,6–20,499500.0
2.0,1.0,1.0,535.0,76.0,2020.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Unknown,Unknown,Owner Occupied,Woodards,Mitcham Road,0–5,580000.0
2.0,1.0,1.0,238.0,102.0,1970.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Jellis Craig - Whitehorse,Strata Unit or Flat  (Unspecified),RGZ1,Owner Occupied,Jellis Craig,Harrison Street,21+,861000.0
3.0,1.0,2.0,415.0,105.2,1985.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,UNIT,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),NRZ1,Owner Occupied,Other,Quarry Road,21+,925000.0
4.0,2.0,2.0,535.0,128.0,1980.0,202508,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,881500.0,947375.0,896500.0,86.0,170.0,386635.2923564976,437791.164060012,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.0196374622356494,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.1144343302990897,0.1796291669849739,OTHER,Pending Settlement Advice,Unknown,Unknown,Unknown,Unknown,Other,Hopetoun Street,21+,1332000.0
5.0,2.0,1.0,853.0,224.0,1980.0,202507,-0.4999999999999997,-0.8660254037844388,881500.0,32.0,998750.0,947875.0,896500.0,97.0,166.0,440893.51420504815,443363.6494717936,543890.0642242589,-0.2592436974789915,-0.0521505376344085,1261000.0,9.0,426290.83382123057,1240000.0,1204000.0,1129621.75,46.0,83.0,419557.2307867093,464430.4819405021,663848.0809641946,-0.0117554858934169,-0.1593893740417306,715000.0,23.0,297822.4584261902,769000.0,849750.0,808750.0,51.0,253.0,300375.91202356,307061.3608371858,351457.0942761319,-0.1961776278808319,-0.1280487804878048,HOUSE,Nils And Wills,Other,Detached Dwelling (existing),GRZ1,Owner Occupied,Other,Milne Street,21+,0.0
2.0,1.0,1.0,215.0,105.0,1993.0,202507,-0.4999999999999997,-0.8660254037844388,881500.0,32.0,998750.0,947875.0,896500.0,97.0,166.0,440893.51420504815,443363.6494717936,543890.0642242589,-0.2592436974789915,-0.0521505376344085,1261000.0,9.0,426290.83382123057,1240000.0,1204000.0,1129621.75,46.0,83.0,419557.2307867093,464430.4819405021,663848.0809641946,-0.0117554858934169,-0.1593893740417306,715000.0,23.0,297822.4584261902,769000.0,849750.0,808750.0,51.0,253.0,300375.91202356,307061.3608371858,351457.0942761319,-0.1961776278808319,-0.1280487804878048,UNIT,Pending Settlement Advice,Other,Detached Dwelling (existing),GRZ2,Owner Occupied,Other,Simpson Street,21+,880000.0
4.0,2.0,2.0,725.0,128.0,1980.0,202507,-0.4999999999999997,-0.8660254037844388,881500.0,32.0,998750.0,947875.0,896500.0,97.0,166.0,440893.51420504815,443363.6494717936,543890.0642242589,-0.2592436974789915,-0.0521505376344085,1261000.0,9.0,426290.83382123057,1240000.0,1204000.0,1129621.75,46.0,83.0,419557.2307867093,464430.4819405021,663848.0809641946,-0.0117554858934169,-0.1593893740417306,715000.0,23.0,297822.4584261902,769000.0,849750.0,808750.0,51.0,253.0,300375.91202356,307061.3608371858,351457.0942761319,-0.1961776278808319,-0.1280487804878048,HOUSE,Unknown,Other,Detached Dwelling,NRZ1,Owner Occupied,Jellis Craig,Somers Street,21+,910000.0
3.0,1.0,1.0,340.0,104.31,1975.0,202507,-0.4999999999999997,-0.8660254037844388,881500.0,32.0,998750.0,947875.0,896500.0,97.0,166.0,440893.51420504815,443363.6494717936,543890.0642242589,-0.2592436974789915,-0.0521505376344085,1261000.0,9.0,426290.83382123057,1240000.0,1204000.0,1129621.75,46.0,83.0,419557.2307867093,464430.4819405021,663848.0809641946,-0.0117554858934169,-0.1593893740417306,715000.0,23.0,297822.4584261902,769000.0,849750.0,808750.0,51.0,253.0,300375.91202356,307061.3608371858,351457.0942761319,-0.1961776278808319,-0.1280487804878048,HOUSE,Pending Settlement Advice,Noel Jones Whitehorse,Unknown,NRZ3,Owner Occupied,Noel Jones,Warnes Road,21+,865000.0
